sr,Make,Model,Variant,Ex-Showroom_Price,Fuel_Tank_Capacity,Fuel_Type,Body_Type,ARAI_Certified_Mileage,Gears,Power,Seating_Capacity,Type,Number_of_Airbags
266,Maruti Suzuki,Baleno,1.3 Zeta,"Rs. 8,07,921",37 litres,Diesel,Hatchback,27.39 km/litre,5,75PS@4000rpm,5,Manual,2
267,Maruti Suzuki,Baleno,1.2 Alpha,"Rs. 7,58,212",37 litres,Petrol,Hatchback,21.4 km/litre,5,83 Bhp@6000rpm,5,Manual,2
268,Maruti Suzuki,Baleno,1.2 Alpha Cvt,"Rs. 8,90,212",37 litres,Petrol,Hatchback,21.4 km/litre,5,83 Bhp@6000rpm,5,Automatic,2
269,Maruti Suzuki,Baleno,1.2 Delta,"Rs. 6,36,612",37 litres,Petrol,Hatchback,21.4 km/litre,5,83 Bhp@6000rpm,5,Manual,2
270,Maruti Suzuki,Baleno,1.2 Delta Cvt,"Rs. 7,68,612",37 litres,Petrol,Hatchback,21.04 km/litre,5,83 Bhp@6000rpm,5,Automatic,2
271,Maruti Suzuki,Baleno,1.2 Zeta,"Rs. 6,97,912",37 litres,Petrol,Hatchback,21.4 km/litre,5,83 Bhp@6000rpm,5,Manual,2
272,Maruti Suzuki,Baleno,1.2 Delta Dualjet,"Rs. 7,33,412",37 litres,Petrol,Hatchback,21.4 km/litre,5,83 Bhp@6000rpm,5,Manual,2
273,Maruti Suzuki,Baleno,1.2 Zeta Dualjet,"Rs. 7,89,912",37 litres,Petrol,Hatchback,21.4 km/litre,5,83 Bhp@6000rpm,5,Manual,2
274,Maruti Suzuki,Baleno,1.2 Zeta Cvt,"Rs. 8,29,912",37 litres,Petrol,Hatchback,21.04 km/litre,5,83 Bhp@6000rpm,5,Automatic,2
275,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz,"Rs. 6,20,637",43 litres,Petrol,Hatchback,19.77 km/litre,5,83PS@6000rpm,5,Manual,2
276,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz At,"Rs. 7,05,538",43 litres,Petrol,Hatchback,17.49 km/litre,5,83PS@6000rpm,5,Automatic,2
277,Hyundai,Grand I10,1.2 Kappa Vtvt Sportz Dual Tone,"Rs. 6,40,537",43 litres,Petrol,Hatchback,19.77 km/litre,5,83PS@6000rpm,5,Manual,2
278,Maruti Suzuki,Ertiga,Lxi,"Rs. 7,59,000",45 litres,Petrol,MPV,19.34 km/litre,5,103Bhp@6000rpm,7,Manual,2
279,Maruti Suzuki,Baleno Rs,Rs 1.0,"Rs. 7,88,913",37 litres,Petrol,Hatchback,21.4 km/litre,5,102PS@5500rpm,5,Manual,2
280,Honda,Wr-V,Vx Diesel,"Rs. 10,35,000",40 litres,Diesel,SUV,25.5 km/litre,7,100PS@3600rpm,5,Manual,2
281,Honda,Wr-V,Vx Petrol,"Rs. 9,25,000",40 litres,Petrol,SUV,17.5 km/litre,7,90PS@6000rpm,5,Manual,2
282,Honda,Wr-V,S Diesel,"Rs. 9,25,000",40 litres,Diesel,SUV,25.5 km/litre,7,100PS@3600rpm,5,Manual,2
283,Honda,Wr-V,S Petrol,"Rs. 8,15,000",40 litres,Petrol,SUV,17.5 km/litre,7,90PS@6000rpm,5,Manual,2
284,Honda,Wr-V,Edge Plus Edition Diesel,"Rs. 9,16,050",40 litres,Diesel,SUV,25.5 km/litre,7,100PS@3600rpm,5,Manual,2
285,Honda,Wr-V,Edge Plus Edition Petrol,"Rs. 8,08,050",40 litres,Petrol,SUV,17.5 km/litre,7,90PS@6000rpm,5,Manual,2
286,Honda,Wr-V,Exclusive Edition Diesel,"Rs. 10,48,050",40 litres,Diesel,SUV,25.5 km/litre,7,100PS@3600rpm,5,Manual,2
287,Honda,Wr-V,Exclusive Edition Petrol,"Rs. 9,35,050",40 litres,Petrol,SUV,17.5 km/litre,7,90PS@6000rpm,5,Manual,2
288,Honda,Wr-V,V Diesel,"Rs. 9,95,000",40 litres,Diesel,SUV,25.5 km/litre,7,100PS@3600rpm,5,Manual,2
289,Mahindra,Tuv300,T10,"Rs. 9,99,614",60 litres,Diesel,SUV,18.49 km/litre,5,100PS@3750RPM,7,Manual,2
290,Mahindra,Tuv300,T10 (O),"Rs. 10,31,943",60 litres,Diesel,SUV,18.49 km/litre,5,100PS@3750RPM,7,Manual,2
291,Mahindra,Tuv300,T10 Dual Tone,"Rs. 10,22,930",60 litres,Diesel,SUV,18.49 km/litre,5,100PS@3750RPM,7,Manual,2
292,Mahindra,Tuv300,T10 (O) Dual Tone,"Rs. 10,55,259",60 litres,Diesel,SUV,18.49 km/litre,5,100PS@3750RPM,7,Manual,2
293,Nissan,Terrano,Xv D Premium 110 Ps Amt,"Rs. 14,64,900",50 litres,Diesel,SUV,19.01 km/litre,6,110PS@3900rpm,5,Automatic,2
294,Nissan,Terrano,Xv D Premium 110 Ps,"Rs. 14,19,900",50 litres,Diesel,SUV,19.01 km/litre,6,110PS@3900rpm,5,Manual,2
295,Tata,Safari Storme,2.2 Vx 4X2 Varicor 400,"Rs. 14,79,574",63 litres,Diesel,SUV,14.1 km/litre,6,156PS@4000rpm,7,Manual,2
296,Tata,Safari Storme,2.2 Vx 4X4 Varicor 400,"Rs. 16,43,829",63 litres,Diesel,SUV,14.1 km/litre,6,156PS@4000rpm,7,Manual,2
297,Toyota,Prius,Z8,"Rs. 45,09,000",43 litres,Hybrid,Sedan,23.9 km/litre,5,98PS@5200rpm,5,Automatic,7
298,Bmw,M4,Coupe,"Rs. 1,35,90,000",60 litres,Petrol,Coupe,10.75 km/litre,7,431PS@7300RPM,4,Automatic,10
299,Aston Martin,Rapide,Luxe,"Rs. 3,88,45,823",90.5 litres,Petrol,Sedan,12.9 km/litre,8,560PS@6650rpm,4,Automatic,8
300,Hyundai,Grand I10 Nios,Era 1.2 Vtvt,"Rs. 5,04,990",37 litres,Petrol,Hatchback,20.7 km/litre,5,83PS@6000rpm,5,Manual,2
301,Hyundai,Grand I10 Nios,Magna 1.2 Vtvt,"Rs. 5,89,610",37 litres,Petrol,Hatchback,20.7 km/litre,5,83PS@6000rpm,5,Manual,2
302,Hyundai,Grand I10 Nios,Magna Amt 1.2 Vtvt,"Rs. 6,42,610",37 litres,Petrol,Hatchback,20.7 km/litre,5,83PS@6000rpm,5,Automatic,2
303,Hyundai,Grand I10 Nios,Sportz 1.2 Vtvt,"Rs. 6,43,350",37 litres,Petrol,Hatchback,20.7 km/litre,5,83PS@6000rpm,5,Manual,2
304,Hyundai,Grand I10 Nios,Sportz Amt 1.2 Vtvt,"Rs. 7,03,350",37 litres,Petrol,Hatchback,20.7 km/litre,5,83PS@6000rpm,5,Automatic,2
305,Hyundai,Grand I10 Nios,Sportz Dual Tone 1.2 Vtvt,"Rs. 6,73,350",37 litres,Petrol,Hatchback,20.7 km/litre,5,83PS@6000rpm,5,Manual,2
306,Hyundai,Grand I10 Nios,Asta 1.2 Vtvt,"Rs. 7,18,950",37 litres,Petrol,Hatchback,20.7 km/litre,5,83PS@6000rpm,5,Manual,2
307,Hyundai,Xcent,S 1.2,"Rs. 6,43,769",43 litres,Petrol,Sedan,20.14 km/litre,5,83PS@6000rpm,5,Manual,2
308,Hyundai,Xcent,Sx 1.2,"Rs. 7,05,546",43 litres,Petrol,Sedan,20.14 km/litre,5,82PS@6000rpm,5,Manual,2
309,Hyundai,Xcent,Sx 1.2 Crdi,"Rs. 7,98,558",43 litres,Diesel,Sedan,25.4 km/litre,5,75PS@4000rpm,5,Manual,2
310,Hyundai,Xcent,Sx 1.2 Crdi (O),"Rs. 8,75,358",43 litres,Diesel,Sedan,25.4 km/litre,5,72PS@4000rpm,5,Manual,2
311,Nissan,Micra,Xl (O) Cvt,"Rs. 6,62,880",41 litres,Petrol,Hatchback,19.34 km/litre,5,77PS@6000rpm,5,Automatic,2
312,Nissan,Micra,Xv Cvt,"Rs. 7,81,686",41 litres,Petrol,Hatchback,19.34 km/litre,5,77PS@6000rpm,5,Automatic,2
313,Nissan,Micra,Xld (O),"Rs. 7,43,504",41 litres,Diesel,Hatchback,23.08 km/litre,5,64PS@4000rpm,5,Manual,2
314,Nissan,Micra,Xvd,"Rs. 8,12,964",41 litres,Diesel,Hatchback,23.08 km/litre,5,64PS@4000rpm,5,Manual,2
315,Maruti Suzuki,Ciaz,1.3L Alpha Smart Hybrid,"Rs. 11,02,689",43 litres,Diesel,Sedan,28.09 km/litre,5,89Bhp@4000RPM,5,Manual,2
316,Maruti Suzuki,Ciaz,1.3L Sigma Smart Hybrid,"Rs. 9,19,689",43 litres,Diesel,Sedan,28.09 km/litre,5,89Bhp@4000RPM,5,Manual,2
317,Maruti Suzuki,Ciaz,1.3L Delta Smart Hybrid,"Rs. 9,80,689",43 litres,Diesel,Sedan,28.09 km/litre,5,89Bhp@4000RPM,5,Manual,2
318,Maruti Suzuki,Ciaz,1.3L Zeta Smart Hybrid,"Rs. 10,62,689",43 litres,Diesel,Sedan,28.09 km/litre,5,89Bhp@4000RPM,5,Manual,2
319,Maruti Suzuki,Ciaz,1.5L Sigma Smart Hybrid,"Rs. 8,19,689",43 litres,Petrol,Sedan,21.56 km/litre,5,103Bhp@6000rpm,5,Manual,2
320,Maruti Suzuki,Ciaz,1.5L Delta Smart Hybrid,"Rs. 8,81,689",43 litres,Petrol,Sedan,21.56 km/litre,5,103Bhp@6000rpm,5,Manual,2
321,Maruti Suzuki,Ciaz,1.5L Zeta Smart Hybrid,"Rs. 9,58,689",43 litres,Petrol,Sedan,21.56 km/litre,5,103Bhp@6000rpm,5,Manual,2
322,Maruti Suzuki,Ciaz,1.5L Alpha Smart Hybrid,"Rs. 9,97,689",43 litres,Petrol,Sedan,21.56 km/litre,5,103Bhp@6000rpm,5,Manual,2
