sr,Make,Model,Variant,Ex-Showroom_Price,Fuel_Tank_Capacity,Fuel_Type,Body_Type,ARAI_Certified_Mileage,Gears,Power,Seating_Capacity,Type,Number_of_Airbags
388,Skoda,Octavia,Style 1.4 Tsi,"Rs. 18,99,599",50 litres,Petrol,Sedan,16.7 km/litre,6,140PS@6000RPM,5,Manual,6
389,Skoda,Octavia,Style 1.8 Tsi At,"Rs. 20,59,599",50 litres,Petrol,Sedan,15.1 km/litre,7,180PS@6200RPM,5,Automatic,6
390,Skoda,Octavia,Style 2.0 Tdi Cr,"Rs. 20,79,599",50 litres,Diesel,Sedan,21 km/litre,6,143PS@4000rpm,5,Manual,6
391,Skoda,Octavia,Style 2.0 Tdi Cr At,"Rs. 22,99,599",50 litres,Diesel,Sedan,19.5 km/litre,6,143PS@4000rpm,5,Automatic,6
392,Skoda,Octavia,L & K 1.8 Tsi At,"Rs. 23,59,599",50 litres,Petrol,Sedan,15.1 km/litre,7,180PS@6200RPM,5,Automatic,6
393,Skoda,Octavia,L & K 2.0 Tdi Cr At,"Rs. 23,59,599",50 litres,Diesel,Sedan,19.5 km/litre,6,143PS@4000rpm,5,Automatic,6
394,Skoda,Octavia,Corporate Edition 1.4 Tsi,"Rs. 15,49,000",50 litres,Petrol,Sedan,16.7 km/litre,6,140PS@6000RPM,5,Manual,6
395,Skoda,Octavia,Corporate Edition 2.0 Tdi,"Rs. 16,99,000",50 litres,Diesel,Sedan,21 km/litre,6,141PS@4000rpm,5,Manual,6
396,Skoda,Octavia,Onyx 1.8 Tsi Dsg,"Rs. 19,99,599",50 litres,Petrol,Sedan,15.1 km/litre,7,180PS@6200RPM,5,Automatic,6
397,Skoda,Octavia,Onyx 2.0 Tdi Dsg,"Rs. 21,99,599",50 litres,Diesel,Sedan,19.5 km/litre,6,143PS@4000rpm,5,Automatic,6
398,Mitsubishi,Pajero Sport,2.5 Mt,"Rs. 29,03,750",70 litres,Diesel,SUV,10.77 km/litre,5,178PS@4000rpm,7,Manual,2
399,Mitsubishi,Pajero Sport,2.5 At,"Rs. 28,35,500",70 litres,Diesel,SUV,10.77 km/litre,5,178PS@4000rpm,7,Automatic,2
400,Mitsubishi,Pajero Sport,Limited Edition,"Rs. 29,53,240",70 litres,Diesel,SUV,10.77 km/litre,5,178PS@4000rpm,7,Manual,2
401,Mitsubishi,Pajero Sport,Select Plus Mt,"Rs. 29,92,800",70 litres,Diesel,SUV,10.77 km/litre,5,178PS@4000rpm,7,Manual,2
402,Mitsubishi,Pajero Sport,Select Plus At,"Rs. 29,52,500",70 litres,Diesel,SUV,10.77 km/litre,5,178PS@4000rpm,7,Automatic,2
403,Bentley,Flying Spur,V8,"Rs. 3,41,67,064",90 litres,Petrol,Sedan,4 km/litre,8,507PS@6000rpm,4,Automatic,6
404,Bentley,Flying Spur,W12,"Rs. 3,93,82,083",90 litres,Petrol,Sedan,4 km/litre,8,616PS@6100rpm,4,Automatic,6
405,Honda,City,V Mt Petrol,"Rs. 10,65,900",40 litres,Petrol,Sedan,17.8 km/litre,5,119PS@6600rpm,5,Manual,2
406,Honda,City,Vx Mt Petrol,"Rs. 11,82,000",40 litres,Petrol,Sedan,17.4 km/litre,5,119PS@6600rpm,5,Manual,2
407,Honda,City,Vx Cvt Petrol,"Rs. 13,12,000",40 litres,Petrol,Sedan,18 km/litre,5,119PS@6600rpm,5,Automatic,2
408,Honda,City,V Mt Diesel,"Rs. 11,91,000",40 litres,Diesel,Sedan,25.6 km/litre,6,100PS@3600rpm,5,Manual,2
409,Honda,City,Vx Mt Diesel,"Rs. 13,02,000",40 litres,Diesel,Sedan,25.1 km/litre,6,100PS@3600rpm,5,Manual,2
410,Honda,City,Zx Mt Diesel,"Rs. 14,21,000",40 litres,Diesel,Sedan,25.1 km/litre,6,100PS@3600rpm,5,Manual,6
411,Honda,City,Zx Cvt Petrol,"Rs. 14,31,000",40 litres,Petrol,Sedan,22.6 km/litre,5,119PS@6600rpm,5,Automatic,6
412,Honda,City,V Cvt Petrol,"Rs. 12,01,000",40 litres,Petrol,Sedan,17.8 km/litre,5,119PS@6600rpm,5,Automatic,2
